LocationName,Species,Time,ImageDate,Year,CoyPresent,FoxPresent,Both,OnlyCoy,OnlyFox,Neither,CRPPrp,RowcropPrp,SGPPrp,TotalEdge,SHDI,LoamyTablePct2k
0,Coyote,0.217,43689.2169,2019,1,0,0,1,0,0,0,0.000215085,0.595640952,469140,1.237462395,0
0,Coyote,0.232,43291.23207,2018,1,0,0,1,0,0,0,0.000215085,0.595640952,469140,1.237462395,0
1,Coyote,0.194,43240.19389,2018,1,0,0,1,0,0,0.035419804,0.534093353,0.126048613,357420,1.780274063,0.406559
1,Coyote,0.208,43243.20802,2018,1,0,0,1,0,0,0.035419804,0.534093353,0.126048613,357420,1.780274063,0.406559
1,Coyote,0.327,43242.32722,2018,1,0,0,1,0,0,0.035419804,0.534093353,0.126048613,357420,1.780274063,0.406559
1,Coyote,0.508,43247.5088,2018,1,0,0,1,0,0,0.035419804,0.534093353,0.126048613,357420,1.780274063,0.406559
1,Coyote,0.914,43252.91456,2018,1,0,0,1,0,0,0.035419804,0.534093353,0.126048613,357420,1.780274063,0.406559
2,Coyote,0.081,43329.08057,2018,1,0,0,1,0,0,0,0.584395132,0.054545455,239640,1.484183014,0.88629
2,Coyote,0.101,43342.10196,2018,1,0,0,1,0,0,0,0.584395132,0.054545455,239640,1.484183014,0.88629
2,Coyote,0.231,43335.23159,2018,1,0,0,1,0,0,0,0.584395132,0.054545455,239640,1.484183014,0.88629
2,Coyote,0.253,43338.25402,2018,1,0,0,1,0,0,0,0.584395132,0.054545455,239640,1.484183014,0.88629
2,Coyote,0.751,43628.75101,2019,1,0,0,1,0,0,0,0.584395132,0.054545455,239640,1.484183014,0.88629
2,Coyote,0.967,43332.96777,2018,1,0,0,1,0,0,0,0.584395132,0.054545455,239640,1.484183014,0.88629
3,Coyote,0.113,43639.11373,2019,1,0,0,1,0,0,0.242422071,0.529344321,7.17E-05,142980,1.468228168,0
3,Coyote,0.168,43642.16841,2019,1,0,0,1,0,0,0.242422071,0.529344321,7.17E-05,142980,1.468228168,0
3,Coyote,0.207,44016.20696,2020,1,0,0,1,0,0,0.242422071,0.529344321,7.17E-05,142980,1.468228168,0
3,Coyote,0.958,44015.95841,2020,1,0,0,1,0,0,0.242422071,0.529344321,7.17E-05,142980,1.468228168,0
4,Coyote,0.256,44097.25587,2020,1,0,0,1,0,0,0.129985653,0.38472023,0,181380,1.716190949,0
4,Coyote,0.874,43238.87367,2018,1,0,0,1,0,0,0.129985653,0.38472023,0,181380,1.716190949,0
4,Coyote,0.958,44101.95821,2020,1,0,0,1,0,0,0.129985653,0.38472023,0,181380,1.716190949,0
4,Coyote,0.958,44101.95855,2020,1,0,0,1,0,0,0.129985653,0.38472023,0,181380,1.716190949,0
5,Coyote,0.028,43998.02894,2020,1,0,0,1,0,0,0.206731113,0.287504475,0.034944504,368100,1.955479903,0.389664
5,Coyote,0.082,43994.08216,2020,1,0,0,1,0,0,0.206731113,0.287504475,0.034944504,368100,1.955479903,0.389664
5,Coyote,0.101,43993.10198,2020,1,0,0,1,0,0,0.206731113,0.287504475,0.034944504,368100,1.955479903,0.389664
5,Coyote,0.108,43990.10899,2020,1,0,0,1,0,0,0.206731113,0.287504475,0.034944504,368100,1.955479903,0.389664
5,Coyote,0.114,43991.11418,2020,1,0,0,1,0,0,0.206731113,0.287504475,0.034944504,368100,1.955479903,0.389664
5,Coyote,0.158,43997.15858,2020,1,0,0,1,0,0,0.206731113,0.287504475,0.034944504,368100,1.955479903,0.389664
5,Coyote,0.16,43999.16094,2020,1,0,0,1,0,0,0.206731113,0.287504475,0.034944504,368100,1.955479903,0.389664
5,Coyote,0.182,43999.18205,2020,1,0,0,1,0,0,0.206731113,0.287504475,0.034944504,368100,1.955479903,0.389664
5,Coyote,0.185,43317.18472,2018,1,0,0,1,0,0,0.206731113,0.287504475,0.034944504,368100,1.955479903,0.389664
5,Coyote,0.188,43625.18884,2019,1,0,0,1,0,0,0.206731113,0.287504475,0.034944504,368100,1.955479903,0.389664
5,Coyote,0.288,43309.28888,2018,1,0,0,1,0,0,0.206731113,0.287504475,0.034944504,368100,1.955479903,0.389664
5,Coyote,0.299,43307.29944,2018,1,0,0,1,0,0,0.206731113,0.287504475,0.034944504,368100,1.955479903,0.389664
5,Coyote,0.313,43298.31365,2018,1,0,0,1,0,0,0.206731113,0.287504475,0.034944504,368100,1.955479903,0.389664
5,Coyote,0.406,43994.40586,2020,1,0,0,1,0,0,0.206731113,0.287504475,0.034944504,368100,1.955479903,0.389664
5,Coyote,0.418,43992.41863,2020,1,0,0,1,0,0,0.206731113,0.287504475,0.034944504,368100,1.955479903,0.389664
5,Coyote,0.419,43992.419,2020,1,0,0,1,0,0,0.206731113,0.287504475,0.034944504,368100,1.955479903,0.389664
6,Coyote,0,43687,2019,1,0,0,1,0,0,0.003226269,0.239317465,0.177444795,415560,1.896233161,0
6,Coyote,0.965,43281.96478,2018,1,0,0,1,0,0,0.003226269,0.239317465,0.177444795,415560,1.896233161,0
7,Coyote,0.91,43344.90986,2018,1,0,0,1,0,0,0.051719198,0.26991404,0.144197708,415350,1.961332509,0.338902
8,Coyote,0.09,43253.08976,2018,1,0,0,1,0,0,0.000430231,0.162627277,0.475548544,580890,1.728808092,0
8,Coyote,0.122,43252.12231,2018,1,0,0,1,0,0,0.000430231,0.162627277,0.475548544,580890,1.728808092,0
8,Coyote,0.138,43726.13795,2019,1,0,0,1,0,0,0.000430231,0.162627277,0.475548544,580890,1.728808092,0
8,Coyote,0.281,43252.28164,2018,1,0,0,1,0,0,0.000430231,0.162627277,0.475548544,580890,1.728808092,0
8,Coyote,0.822,43255.82231,2018,1,0,0,1,0,0,0.000430231,0.162627277,0.475548544,580890,1.728808092,0
8,Coyote,0.988,43245.98756,2018,1,0,0,1,0,0,0.000430231,0.162627277,0.475548544,580890,1.728808092,0
8,Coyote,0.988,43245.98787,2018,1,0,0,1,0,0,0.000430231,0.162627277,0.475548544,580890,1.728808092,0
9,Coyote,0.047,43303.04743,2018,1,0,0,1,0,0,0.271261732,0.135057677,0.270401949,183210,1.823664942,0.590658
9,Coyote,0.078,43315.07829,2018,1,0,0,1,0,0,0.271261732,0.135057677,0.270401949,183210,1.823664942,0.590658
